#WAVELENGTH FLUX
1.438532941091340035e+03 1.253337433460557308e-15
1.438612667798064649e+03 1.180535520744311630e-15
1.438692394504789263e+03 1.498109255849401579e-15
1.438772121211513877e+03 9.463936673672107596e-16
1.438851847918704152e+03 1.195155421496893855e-15
1.438931574625428766e+03 9.523048476762540361e-16
1.439011301331687719e+03 1.387736329872409454e-15
1.439091028038877994e+03 1.880665519018159132e-15
1.439170754745602608e+03 1.880491938888927635e-15
1.439250481452327222e+03 1.941655063871708203e-15
1.439330208159517497e+03 1.755733784126315192e-15
1.439409934866242111e+03 1.636169233800078724e-15
1.439489661572966725e+03 2.380784846598350444e-15
1.439569388279691339e+03 1.758806574813492478e-15
1.439649114986881614e+03 1.941777715317805422e-15
1.439728841693606228e+03 1.319746742201760478e-15
1.439808568400330842e+03 8.245108916755061471e-16
1.439888295107055455e+03 1.324812591901250088e-15
1.439968021814245731e+03 1.383984271701093423e-15
1.440047748520970345e+03 1.755021806612033650e-15
1.440127475227694958e+03 1.072404525542579128e-15
1.440207201934885234e+03 1.885435346832605309e-15
1.440286928641609848e+03 2.071647758171260339e-15
1.440366655348334461e+03 1.753153754856203096e-15
1.440446382055059075e+03 1.940460949661739409e-15
1.440526108762249351e+03 1.694835777974483383e-15
1.440605835468973964e+03 1.448624223741252803e-15
1.440685562175698578e+03 1.516314720273195468e-15
1.440765288882423192e+03 8.100268288687561554e-16
1.440845015589613467e+03 8.001408442979164243e-16
1.440924742296338081e+03 9.317702730173114171e-16
1.441004469003062695e+03 1.938648414959900964e-15
1.441084195710252970e+03 1.943186794330232353e-15
1.441163922416977584e+03 3.189363120087126188e-15
1.441243649123702198e+03 1.080271469358066244e-15
1.441323375830426812e+03 1.097681878589551981e-15
1.441403102537617087e+03 1.101268337063391274e-15
1.441482829244341701e+03 2.102848871910417634e-15
1.441562555951066315e+03 2.611995406803857350e-15
1.441642282657790929e+03 1.112114843761527581e-15
1.441722009364981204e+03 1.234137770008585548e-15
1.441801736071705818e+03 1.734750156273874686e-15
1.441881462778430432e+03 4.781178033191917867e-16
1.441961189485620707e+03 4.702793056245849097e-16
1.442040916192345321e+03 7.171257706087866914e-16
1.442120642899069935e+03 1.473576469785278786e-15
1.442200369605794549e+03 1.351970949318470310e-15
1.442280096312984824e+03 1.350210679196455415e-15
1.442359823019709438e+03 1.346101896904434053e-15
1.442439549726434052e+03 1.592667514218339380e-15
1.442519276433158666e+03 2.094681857987969251e-15
1.442599003140348941e+03 9.622961761796442329e-16
1.442678729847073555e+03 1.343296230961190966e-15
1.442758456553798169e+03 9.678419205017707701e-16
1.442838183260988444e+03 1.595045816057336026e-15
1.442917909967713058e+03 6.004566202262091344e-16
1.442997636674437672e+03 2.875770042787437425e-15
1.443077363381162286e+03 1.995551312667825439e-15
1.443157090087886900e+03 2.623634513001858292e-15
1.443236816794611514e+03 1.109544843229162077e-15
1.443316543501336128e+03 1.998483934705073470e-15
1.443396270208526403e+03 1.621353225895053040e-15
1.443475996915251017e+03 1.216591726421095843e-16
1.443555723621975631e+03 0.000000000000000000e+00
1.443635450329165906e+03 0.000000000000000000e+00
1.443715177035890520e+03 0.000000000000000000e+00
1.443794903742615134e+03 0.000000000000000000e+00
1.443874630449339747e+03 0.000000000000000000e+00
1.443954357156530023e+03 0.000000000000000000e+00
1.444034083863254637e+03 0.000000000000000000e+00
1.444113810569979250e+03 0.000000000000000000e+00
1.444193537276703864e+03 0.000000000000000000e+00
1.444273263983894140e+03 0.000000000000000000e+00
1.444352990690618753e+03 0.000000000000000000e+00
1.444432717397343367e+03 0.000000000000000000e+00
1.444512444104533643e+03 0.000000000000000000e+00
1.444592170811258256e+03 0.000000000000000000e+00
1.444671897517982870e+03 0.000000000000000000e+00
1.444751624224707484e+03 0.000000000000000000e+00
1.444831350931897759e+03 0.000000000000000000e+00
1.444911077638622373e+03 0.000000000000000000e+00
1.444990804345346987e+03 0.000000000000000000e+00
1.445070531052071601e+03 0.000000000000000000e+00
1.445150257759261876e+03 0.000000000000000000e+00
1.445229984465986490e+03 0.000000000000000000e+00
1.445309711172711104e+03 0.000000000000000000e+00
1.445389437879901379e+03 0.000000000000000000e+00
1.445469164586625993e+03 0.000000000000000000e+00
1.445548891293350607e+03 0.000000000000000000e+00
1.445628618000075221e+03 0.000000000000000000e+00
1.445708344707265496e+03 0.000000000000000000e+00
1.445788071413990110e+03 0.000000000000000000e+00
1.445867798120714724e+03 0.000000000000000000e+00
1.445947524827439338e+03 0.000000000000000000e+00
1.446027251534629613e+03 0.000000000000000000e+00
1.446106978241354227e+03 0.000000000000000000e+00
1.446186704948078841e+03 0.000000000000000000e+00
1.446266431655269116e+03 0.000000000000000000e+00
1.446346158361993730e+03 0.000000000000000000e+00
1.446425885068718344e+03 0.000000000000000000e+00
1.446505611775442958e+03 0.000000000000000000e+00
1.446585338482633233e+03 0.000000000000000000e+00
1.446665065189357847e+03 0.000000000000000000e+00
1.446744791896082461e+03 0.000000000000000000e+00
1.446824518602807075e+03 0.000000000000000000e+00
1.446904245309997350e+03 0.000000000000000000e+00
1.446983972016721964e+03 0.000000000000000000e+00
1.447063698723446578e+03 0.000000000000000000e+00
1.447143425430636853e+03 0.000000000000000000e+00
1.447223152137361467e+03 0.000000000000000000e+00
1.447302878843620420e+03 0.000000000000000000e+00
1.447382605550810695e+03 0.000000000000000000e+00
1.447462332257535309e+03 0.000000000000000000e+00
1.447542058964259923e+03 0.000000000000000000e+00
1.447621785670984536e+03 0.000000000000000000e+00
1.447701512378174812e+03 0.000000000000000000e+00
1.447781239084899426e+03 0.000000000000000000e+00
1.447860965791624039e+03 0.000000000000000000e+00
1.447940692498814315e+03 0.000000000000000000e+00
1.448020419205538929e+03 0.000000000000000000e+00
1.448100145912263542e+03 0.000000000000000000e+00
1.448179872618988156e+03 0.000000000000000000e+00
1.448259599326178432e+03 0.000000000000000000e+00
1.448339326032903045e+03 0.000000000000000000e+00
1.448419052739627659e+03 0.000000000000000000e+00
1.448498779446352273e+03 0.000000000000000000e+00
1.448578506153542548e+03 0.000000000000000000e+00
1.448658232860267162e+03 0.000000000000000000e+00
1.448737959566991776e+03 0.000000000000000000e+00
